,"County, State",GEO ID,FSRR2010,State,County,Name,Broadband (%)
209,"Richmond County, New York",0500000US36085,65.1,36,085,"Richmond County, New York",0.81358808
210,"St. Lawrence County, New York",0500000US36089,62.3,36,089,"St. Lawrence County, New York",0.59188485
211,"Suffolk County, New York",0500000US36103,67.6,36,103,"Suffolk County, New York",0.84964299
212,"Ulster County, New York",0500000US36111,57.4,36,111,"Ulster County, New York",0.815678
213,"Westchester County, New York",0500000US36119,67.9,36,119,"Westchester County, New York",0.74562943
214,"Cumberland County, North Carolina",0500000US37051,64.7,37,051,"Cumberland County, North Carolina",0.65845513
215,"Davidson County, North Carolina",0500000US37057,68.4,37,057,"Davidson County, North Carolina",0.77396899
216,"Forsyth County, North Carolina",0500000US37067,68.5,37,067,"Forsyth County, North Carolina",0.73680937
217,"Iredell County, North Carolina",0500000US37097,69.9,37,097,"Iredell County, North Carolina",0.799887
218,"Mecklenburg County, North Carolina",0500000US37119,67.3,37,119,"Mecklenburg County, North Carolina",0.69668186
219,"New Hanover County, North Carolina",0500000US37129,68.5,37,129,"New Hanover County, North Carolina",0.6512928000000001
220,"Onslow County, North Carolina",0500000US37133,65.6,37,133,"Onslow County, North Carolina",0.83849466
221,"Pitt County, North Carolina",0500000US37147,63.9,37,147,"Pitt County, North Carolina",0.58331829
222,"Robeson County, North Carolina",0500000US37155,54.9,37,155,"Robeson County, North Carolina",0.5938074000000001
223,"Union County, North Carolina",0500000US37179,73.5,37,179,"Union County, North Carolina",0.73996651
224,"Wake County, North Carolina",0500000US37183,71.8,37,183,"Wake County, North Carolina",0.83015245
225,"Cass County, North Dakota",0500000US38017,73.9,38,017,"Cass County, North Dakota",0.87061012
226,"Clark County, Ohio",0500000US39023,69.5,39,023,"Clark County, Ohio",0.59004533
227,"Clermont County, Ohio",0500000US39025,73.5,39,025,"Clermont County, Ohio",0.77719688
228,"Columbiana County, Ohio",0500000US39029,67.5,39,029,"Columbiana County, Ohio",0.77753395
229,"Cuyahoga County, Ohio",0500000US39035,65.3,39,035,"Cuyahoga County, Ohio",0.72494364
230,"Delaware County, Ohio",0500000US39041,78.1,39,041,"Delaware County, Ohio",0.86978912
231,"Fairfield County, Ohio",0500000US39045,72.7,39,045,"Fairfield County, Ohio",0.76560289
232,"Franklin County, Ohio",0500000US39049,66,39,049,"Franklin County, Ohio",0.67709458
233,"Hamilton County, Ohio",0500000US39061,67.2,39,061,"Hamilton County, Ohio",0.64086491
234,"Lake County, Ohio",0500000US39085,75,39,085,"Lake County, Ohio",0.6395337
235,"Licking County, Ohio",0500000US39089,71.3,39,089,"Licking County, Ohio",0.75505412
236,"Lorain County, Ohio",0500000US39093,72.1,39,093,"Lorain County, Ohio",0.63383609
